data_extra;idacidente;longitude;latitude;log1;log2;predial1;tipo_acid;queda_arr;data;dia_sem;hora;feridos;feridos_gr;mortes;morte_post;fatais;auto;taxi;lotacao;onibus_urb;onibus_met;onibus_int;caminhao;moto;carroca;bicicleta;outro;noite_dia;regiao;cont_vit;ups;consorcio;ano;mes
01/08/2020;648730;-51.13411800000;-30.22949300000;AV BOA VISTA;;1590;CHOQUE;0;01/01/2018;SEGUNDA-FEIRA;20:18:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NOITE;SUL;1;5;;2018;1
01/08/2020;648784;-51.20500600000;-30.04697200000;R SAO LUIZ;;429;ATROPELAMENTO;0;03/01/2018;QUARTA-FEIRA;16:30:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO;1;5;;2018;1
01/08/2020;648893;-51.18837400000;-29.99527600000;AV DOS ESTADOS;;100;ATROPELAMENTO;0;05/01/2018;SEXTA-FEIRA;08:00:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DIA;NORTE;1;5;;2018;1
01/08/2020;648911;-51.20370600000;-30.00344500000;R CAIRU;;340;ABALROAMENTO;0;07/01/2018;DOMINGO;07:50:00;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;DIA;NORTE;1;5;;2018;1
01/08/2020;648941;-51.21648900000;-30.03066900000;R IRMAO JOSE OTAO;;190;ATROPELAMENTO;0;08/01/2018;SEGUNDA-FEIRA;06:45:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO;1;5;;2018;1
01/08/2020;648945;-51.11953800000;-29.99297200000;AV FRANCISCO SILVEIRA BITENCOURT;;954;ABALROAMENTO;0;08/01/2018;SEGUNDA-FEIRA;12:30:00;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;NORTE;1;5;;2018;1
01/08/2020;648778;-51.20756300000;-30.02084800000;AV CRISTOVAO COLOMBO;;1240;COLIS├âO;0;03/01/2018;QUARTA-FEIRA;16:15:00;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;DIA;NORTE;1;5;MOB (LOTE 1);2018;1
01/08/2020;648842;-51.16585200000;-30.06085600000;R ALBION;;111;CHOQUE;0;04/01/2018;QUINTA-FEIRA;12:00:00;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;1;5;;2018;1
01/08/2020;648846;-51.19866800000;-30.13985100000;BC MARIA ALICE;;302;ABALROAMENTO;0;04/01/2018;QUINTA-FEIRA;19:10:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NOITE;SUL;1;5;;2018;1
01/08/2020;648903;-51.15265800000;-30.05927500000;AV IPIRANGA;;8417;CHOQUE;0;06/01/2018;S├üBADO;07:30:00;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;1;5;;2018;1
01/08/2020;648943;-51.19638400000;-30.05725800000;AV BENTO GONCALVES;;1778;ATROPELAMENTO;0;08/01/2018;SEGUNDA-FEIRA;11:45:00;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;DIA;LESTE;1;5;MAIS (LOTE 6);2018;1
01/08/2020;648949;-51.22837000000;-30.04310500000;AV AURELIANO DE FIGUEIREDO PINTO;;345;ABALROAMENTO;0;08/01/2018;SEGUNDA-FEIRA;21:30:00;4;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;NOITE;CENTRO;1;5;CARRIS;2018;1
01/08/2020;648977;-51.19710300000;-30.08217900000;;;3756;COLIS├âO;0;01/01/2018;SEGUNDA-FEIRA;11:35;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;DIA;SUL;0;1;;2018;1
01/08/2020;648991;-51.15452200000;-30.04335500000;R BOM JESUS;;170;QUEDA;0;05/01/2018;SEXTA-FEIRA;18:35:00;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;NOITE;LESTE;1;5;;2018;1
01/08/2020;648995;-51.21826200000;-30.05128800000;R GEN CALDWELL;AV ERICO VERISSIMO;0;ABALROAMENTO;0;09/01/2018;TER├çA-FEIRA;14:30:00;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;DIA;SUL;1;13;;2018;1
01/08/2020;648782;-51.22923000000;-30.04682600000;AV BORGES DE MEDEIROS;;2244;ATROPELAMENTO;0;03/01/2018;QUARTA-FEIRA;13:20:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO;1;5;;2018;1
01/08/2020;648786;-51.16242000000;-30.00985500000;R ENES BANDEIRA;;103;ABALROAMENTO;0;03/01/2018;QUARTA-FEIRA;20:00:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NOITE;NORTE;1;5;;2018;1
01/08/2020;648897;-51.18280700000;-30.02957300000;R REGENTE;;387;COLIS├âO;0;05/01/2018;SEXTA-FEIRA;18:00:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NOITE;LESTE;1;5;;2018;1
01/08/2020;648905;-51.20838600000;-30.14730900000;AV JUCA BATISTA;;2145;ATROPELAMENTO;0;06/01/2018;S├üBADO;13:10:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;DIA;SUL;1;5;;2018;1
01/08/2020;648947;-51.14203900000;-30.02999700000;AV ALBERTO PASQUALINI;;520;ABALROAMENTO;0;08/01/2018;SEGUNDA-FEIRA;19:30:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NOITE;LESTE;1;5;;2018;1
01/08/2020;649047;-51.19416400000;-30.00843700000;AV PATRIA;AV CEARA;0;ABALROAMENTO;0;10/01/2018;QUARTA-FEIRA;10:40:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;NORTE;1;5;;2018;1
01/08/2020;648735;-51.16194300000;-30.14631700000;ESTR COSTA GAMA;;4473;COLIS├âO;0;02/01/2018;TER├çA-FEIRA;07:50:00;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;DIA;SUL;1;5;;2018;1
01/08/2020;648739;-51.17829200000;-30.06685800000;AV ROCIO;R TEN ALPOIM;0;ABALROAMENTO;0;02/01/2018;TER├çA-FEIRA;18:00:00;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;NOITE;LESTE;1;5;;2018;1
01/08/2020;648849;-51.16952000000;-30.01427000000;R JOSE DA SILVA;;140;COLIS├âO;0;04/01/2018;QUINTA-FEIRA;20:35:00;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;NOITE;SUL;1;5;;2018;1
01/08/2020;648896;-51.15111600000;-30.02475900000;AV DO FORTE;;1600;COLIS├âO;0;05/01/2018;SEXTA-FEIRA;14:35:00;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;DIA;LESTE;1;5;;2018;1
01/08/2020;648910;-51.19318500000;-29.98391000000;AV A J RENNER;;1570;ABALROAMENTO;0;06/01/2018;S├üBADO;22:34:00;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;NOITE;NORTE;1;5;;2018;1
01/08/2020;648948;-51.22708900000;-30.10934500000;AV DA CAVALHADA;;3853;ABALROAMENTO;0;08/01/2018;SEGUNDA-FEIRA;20:10:00;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;NOITE;SUL;1;5;;2018;1
